2016,2017,2018,2019,2020,2021,canton
4356.0,4356.0,4356.0,4356.0,4356.0,4072.0,ZH
3180.8999999999996,3180.8999999999996,3180.8999999999996,3179.6499999999996,3179.6499999999996,3114.45,BE
2629.7,2629.7,2629.7,2629.7,2629.7,2629.7,LU
3004.4892,2990.1892,2982.3012,2982.3012,2531.5948,2529.6459999999997,UR
3063.45,3063.45,3043.85,3005.6,2813.6499999999996,2813.6499999999996,SZ
2726.3,2726.3,2726.3,2726.3,2556.5,2556.5,OW
2541.0,2541.0,2541.0,2541.0,2548.0,2404.0,NW
3362.0,3362.0,3357.0,3350.0,2700.0,2678.0,GL
2361.0,2361.0,2361.5,2338.5,2848.8,2826.75,ZG
3103.05,3103.05,3103.05,3103.05,2827.7,2827.7,FR
3331.65,3273.2,3256.5,3256.5,3232.0,3141.0,SO
4857.0,4857.0,4857.0,2695.0,2695.0,2695.0,BS
3542.0,3542.0,3542.0,3542.0,3707.4,3707.4,BL
3383.0,3364.0,3327.0,3327.0,2812.1620000000003,2791.7300000000005,SH
3390.0,3390.0,3390.0,3390.0,3390.0,3390.0,AR
2838.0,2838.0,2838.0,2838.0,2537.5,2537.5,AI
3475.5,3476.0,3476.0,3476.0,2899.9759999999997,2899.9759999999997,SG
3747.0,3602.0,3635.0,3602.0,3348.0,3348.0,GR
3021.2,3021.2,3021.2,3021.2,3021.2,3013.6,AG
3286.0,3286.0,3286.0,3274.8,2672.7,2672.7,TG
4356.299999999999,4365.424999999999,4340.75,4340.75,3864.1099999999997,3864.1099999999997,TI
4422.21,4267.26,4267.26,2799.3946000000005,2806.466666666667,2800.7333333333336,VD
2812.5,2812.5,2812.5,2812.5,2649.0,2649.0,VS
3126.0,3126.0,3126.0,3126.0,2716.0,2716.0,NE
4892.0,4892.0,4892.0,4893.55,2800.5,2867.3154375,GE
4408.6,4408.6,4403.55,4372.45,3546.15,3546.15,JU
