canton,mean_companies,sd_companies,min_companies,p25_companies,p50_companies,p75_companies,max_companies,mean_taxes,sd_taxes,mean_working_population,sd_working_population,mean_share_finance,sd_share_finance,mean_share_it,sd_share_it,mean_treatment
AG,0.6071428571428569,0.4913187845184165,0,0,1,1,1,3019.9333333333334,2.8522291751550113,422909.1666666667,5151.481911772957,0,0,0,0,0
AI,0.035714285714285726,0.18669145807013005,0,0,0,0,1,2737.8333333333335,142.65115531490113,9595.5,37.067505985701274,0,0,0,0,0
AR,0,0,0,0,0,0,0,3390,0,33181.5,222.00704214182798,NA,NA,NA,NA,0
BE,2.2142857142857135,1.777174070376891,0,0,2,4,5,3169.408333333333,24.75699502800972,622328.5,530.5090035210537,0.13387978142076506,0.1282708077523211,0,0,0
BL,0.16666666666666677,0.3749163226587821,0,0,0,0,1,3597.133333333333,78.51747450610539,169832.66666666666,255.1603748653157,0,0,0,0,0
BS,0.6309523809523812,0.6166321647633775,0,0,1,1,2,3776,1088.586057982465,122655.66666666667,708.4879356274026,0,0,0,0,0
FR,0.38095238095238126,0.7429145129883523,0,0,0,0,2,3011.266666666667,130.71213183347118,198332,3352.6021174225966,1,0,0,0,0
GE,8,6.627798340578377,0,1,10,11,21,4206.227572916666,977.3795923512304,312826,4462.511754038254,0.5805191828429783,0.2270498314551971,0.16242041600255608,0.09031892607195387,0
GL,0,0,0,0,0,0,0,3134.833333333333,317.55425398717637,24612.5,67.69463331964869,NA,NA,NA,NA,0
GR,1.047619047619048,0.656840959363739,0,1,1,1,2,3547,149.927306329096,120717,246.11917415618788,1,0,0,0,0
JU,0.09523809523809534,0.2953065639704594,0,0,0,0,1,4114.25,404.7160287703736,42637.833333333336,53.2464374262875,0,0,0,0,0
LU,1.7857142857142865,1.8107538772927723,0,1,1,4,6,2629.7,0,254826.5,2268.0828474323644,0.8015384615384615,0.26571645610073724,0.08025641025641017,0.11109822307732993,0
NE,2.8452380952380922,2.581183289025273,0,0,3,5,7,2989.333333333333,194.63219194379198,105930.5,719.2058413649886,0.5441643323996265,0.05692879294432256,0.4558356676003735,0.05692879294432254,0
NW,0,0,0,0,0,0,0,2519.3333333333335,52.00433351390394,26457.833333333332,111.79772982653188,NA,NA,NA,NA,0
OW,1.0357142857142851,0.5017182181223532,0,1,1,1,2,2669.7000000000003,80.60621022452658,23064,41.00841548810525,0.92,0.18453740556877368,0.07999999999999996,0.18453740556877368,0
SG,0.6547619047619045,0.4783014026576549,0,0,1,1,1,3283.9086666666667,273.38660602735274,311616.8333333333,1962.3516863307332,1,0,0,0,0
SH,0.8928571428571428,0.3111524301168834,0,1,1,1,1,3167.482,261.11392533841183,49296.666666666664,353.06209803719025,0,0,0,0,0
SO,0,0,0,0,0,0,0,3248.475,57.38013900395046,167945.83333333334,1087.084963703325,NA,NA,NA,NA,0
SZ,2.7142857142857157,2.027351697494944,0,0,3,5,5,2967.2749999999996,111.10184041527845,100123.5,1172.4184827063882,0.5511494252873562,0.18397977654365122,0.44885057471264367,0.18397977654365122,0
TG,0,0,0,0,0,0,0,3079.7,289.83951265931915,172218.5,1821.1984368758044,NA,NA,NA,NA,0
TI,9.607142857142854,6.454694485024726,0,2,11.5,15,18,4188.574166666666,231.20400058219394,208873,1480.3921825261398,0.06316379580446077,0.03527114050464373,0.5235937147062467,0.13110301564998744,0
UR,0.7261904761904762,0.4485905766401848,0,0,1,1,1,2836.7536,218.11596364517456,21687,35.49409790254561,0,0,0,0,0
VD,3.8809523809523823,2.834404643739509,0,1,3,5,11,3560.5541,765.4500567552186,494795.1666666667,7713.983755510619,0.5149064688698836,0.3033986039337367,0.4507276598740016,0.3247988174023549,0
VS,0.5357142857142861,0.8842181022369874,0,0,0,2,2,2758,77.615520445878,209285.33333333334,2063.2673664244567,0.4782608695652174,0.1042572070285374,0,0,0
ZG,60.333333333333364,37.76220247473619,0,21,68,87.25,120,2516.258333333333,229.1739613862466,79600,741.2835461378107,0.40467836906962545,0.051753610182878,0.41572325597252824,0.054197792936413365,0.2857142857142855
ZH,26.85714285714285,17.750712089665285,0,9.5,27,37.25,60,4308.666666666667,106.5833007557938,965984.6666666666,14978.864869833511,0.39201368039277595,0.09869482189604013,0.4791786331730145,0.14544050776596149,0
