$e \in \mathbf{RM}$,treatment_effect,p_value
$C_{0}(A_{3.0})$,-2.5025714387290616,0.92
$C_{0}(A_{3.1})$,0.0064629498575546,0.95
$C_{0}(A_{3.2})$,-3.855654866818083,1.0
$C_{0}(A_{3.3})$,-3.3891533648021235,1.0
$C_{0}(A_{3.4})$,-3.3891533648021235,1.0
$C_{0}(A_{3.5})$,-3.3891533648021235,1.0
$C_{0}(A_{3.6})$,-2.453546058684708,1.0
$C_{0}(A_{3.7})$,-4.252310945909429,1.0
$C_{0}(A_{3.8})$,-0.903699523118569,1.0
$C_{0}(A_{3.9})$,-0.903699523118569,1.0
$C_{0}(A_{3.10})$,-0.903699523118569,1.0
$C_{0}(A_{3.11})$,-0.903699523118569,1.0
$C_{0}(A_{3.12})$,-8.96396546686763,1.0
$C_{0}(A_{3.13})$,-8.96396546686763,1.0
$C_{0}(A_{3.14})$,-8.96396546686763,1.0
$C_{0}(A_{3.15})$,-8.96396546686763,1.0
$C_{0}(A_{3.16})$,-8.96396546686763,1.0
$C_{0}(A_{3.17})$,-8.96396546686763,1.0
$C_{0}(A_{3.18})$,-8.96396546686763,1.0
$C_{0}(A_{3.19})$,-6.028899880987855,1.0
$C_{0}(A_{3.20})$,-6.028899880987855,1.0
$C_{1}(A_{3.0})$,-3.439581853347871,0.85
$C_{1}(A_{3.1})$,-1.211688351042899,1.0
$C_{1}(A_{3.2})$,-10.549517732228937,0.86
$C_{1}(A_{3.3})$,-3.5234597375220686,1.0
$C_{1}(A_{3.4})$,-3.5234597375220686,1.0
$C_{1}(A_{3.5})$,-3.5234597375220686,1.0
$C_{1}(A_{3.6})$,-4.182154777180864,1.0
$C_{1}(A_{3.7})$,-3.678261705517664,1.0
$C_{1}(A_{3.8})$,-6.867009246103457,1.0
$C_{1}(A_{3.9})$,-6.867009246103457,1.0
$C_{1}(A_{3.10})$,-6.867009246103457,1.0
$C_{1}(A_{3.11})$,-6.867009246103457,1.0
$C_{1}(A_{3.12})$,-3.648815565359103,1.0
$C_{1}(A_{3.13})$,-3.648815565359103,1.0
$C_{1}(A_{3.14})$,-3.648815565359103,1.0
$C_{1}(A_{3.15})$,-3.648815565359103,1.0
$C_{1}(A_{3.16})$,-3.648815565359103,1.0
$C_{1}(A_{3.17})$,-3.648815565359103,1.0
$C_{1}(A_{3.18})$,-3.648815565359103,1.0
$C_{1}(A_{3.19})$,-9.733124536210868,1.0
$C_{1}(A_{3.20})$,-9.733124536210868,1.0
$C_{2}(A_{3.0})$,-0.4816173247452393,0.81
$C_{2}(A_{3.1})$,10.389208060086789,0.29
$C_{2}(A_{3.2})$,-2.7385469301326766,0.93
$C_{2}(A_{3.3})$,-2.725596932227708,0.78
$C_{2}(A_{3.4})$,-2.725596932227708,0.78
$C_{2}(A_{3.5})$,-2.725596932227708,0.78
$C_{2}(A_{3.6})$,1.6946395804228205,0.57
$C_{2}(A_{3.7})$,3.3718170950148942,0.5
$C_{2}(A_{3.8})$,0.9004045894010856,1.0
$C_{2}(A_{3.9})$,0.9004045894010856,1.0
$C_{2}(A_{3.10})$,0.9004045894010856,1.0
$C_{2}(A_{3.11})$,0.9004045894010856,1.0
$C_{2}(A_{3.12})$,-0.3916593005611576,1.0
$C_{2}(A_{3.13})$,-0.3916593005611576,1.0
$C_{2}(A_{3.14})$,-0.3916593005611576,1.0
$C_{2}(A_{3.15})$,-0.3916593005611576,1.0
$C_{2}(A_{3.16})$,-0.3916593005611576,1.0
$C_{2}(A_{3.17})$,-0.3916593005611576,1.0
$C_{2}(A_{3.18})$,-0.3916593005611576,1.0
$C_{2}(A_{3.19})$,21.555586561074254,1.0
$C_{2}(A_{3.20})$,21.555586561074254,1.0
$C_{3}(A_{3.0})$,-3.439581853347871,0.85
$C_{3}(A_{3.1})$,-1.211688351042899,1.0
$C_{3}(A_{3.2})$,-10.549517732228937,0.86
$C_{3}(A_{3.3})$,-2.1358001333552554,1.0
$C_{3}(A_{3.4})$,-2.1358001333552554,1.0
$C_{3}(A_{3.5})$,-2.1358001333552554,1.0
$C_{3}(A_{3.6})$,-0.5401821084401425,0.57
$C_{3}(A_{3.7})$,1.1292614303148614,0.83
$C_{3}(A_{3.8})$,0.8020606041441548,0.8
$C_{3}(A_{3.9})$,0.8020606041441548,0.8
$C_{3}(A_{3.10})$,0.8020606041441548,0.8
$C_{3}(A_{3.11})$,0.8020606041441548,0.8
$C_{3}(A_{3.12})$,8.064541461533745,1.0
$C_{3}(A_{3.13})$,8.064541461533745,1.0
$C_{3}(A_{3.14})$,8.064541461533745,1.0
$C_{3}(A_{3.15})$,8.064541461533745,1.0
$C_{3}(A_{3.16})$,8.064541461533745,1.0
$C_{3}(A_{3.17})$,8.064541461533745,1.0
$C_{3}(A_{3.18})$,8.064541461533745,1.0
$C_{3}(A_{3.19})$,21.84985942892012,1.0
$C_{3}(A_{3.20})$,21.84985942892012,1.0
$C_{4}(A_{3.0})$,-3.439581853347871,0.85
$C_{4}(A_{3.1})$,-1.211688351042899,1.0
$C_{4}(A_{3.2})$,-10.549517732228937,0.86
$C_{4}(A_{3.3})$,-0.7457981644095609,0.89
$C_{4}(A_{3.4})$,-0.7457981644095609,0.89
$C_{4}(A_{3.5})$,-0.7457981644095609,0.89
$C_{4}(A_{3.6})$,-1.381169979801592,0.71
$C_{4}(A_{3.7})$,1.1571626919553992,1.0
$C_{4}(A_{3.8})$,0.8464427375564222,1.0
$C_{4}(A_{3.9})$,0.8464427375564222,1.0
$C_{4}(A_{3.10})$,0.8464427375564222,1.0
$C_{4}(A_{3.11})$,0.8464427375564222,1.0
$C_{4}(A_{3.12})$,8.29565097460628,1.0
$C_{4}(A_{3.13})$,8.29565097460628,1.0
$C_{4}(A_{3.14})$,8.29565097460628,1.0
$C_{4}(A_{3.15})$,8.29565097460628,1.0
$C_{4}(A_{3.16})$,8.29565097460628,1.0
$C_{4}(A_{3.17})$,8.29565097460628,1.0
$C_{4}(A_{3.18})$,8.29565097460628,1.0
$C_{4}(A_{3.19})$,22.16016063323596,1.0
$C_{4}(A_{3.20})$,22.16016063323596,1.0
